timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,mean_fhr_bpm,std_fhr_bpm,pct_in_range,pct_smooth,fhr_plausible,SNR_before_dB,SNR_after_dB,delta_SNR_dB
20260423_205006,a01,PHASE_cinc2013,,,,,97.2414,97.2414,97.2414,141.0,4.0,4.0,7.4635,145.0,145.0,147.87,19.45,95.83,87.41,1.0,1.1593,-8.0669,-9.2262
20260423_205006,a02,PHASE_cinc2013,,,,,13.125,18.75,15.4412,21.0,91.0,139.0,44.5003,112.0,160.0,129.34,42.89,63.06,30.0,0.0,2.8942,-0.8743,-3.7684
20260423_205006,a03,PHASE_cinc2013,,,,,88.2812,96.5812,92.2449,113.0,4.0,15.0,9.0135,117.0,128.0,122.95,21.11,89.66,76.52,1.0,1.2323,-7.289,-8.5213
20260423_205006,a04,PHASE_cinc2013,,,,,95.3488,97.619,96.4706,123.0,3.0,6.0,7.2624,126.0,129.0,128.98,16.37,95.2,87.1,1.0,3.792,0.7203,-3.0716
20260423_205006,a05,PHASE_cinc2013,,,,,93.7984,96.0317,94.902,121.0,5.0,8.0,6.5415,126.0,129.0,127.58,14.08,95.2,87.1,1.0,4.1095,1.2159,-2.8936
20260423_205006,a06,PHASE_cinc2013,,,,,56.25,70.8661,62.7178,90.0,37.0,70.0,32.6804,127.0,160.0,138.75,36.69,70.63,45.6,0.0,1.1096,-8.0288,-9.1384
20260423_205006,a07,PHASE_cinc2013,,,,,45.3846,52.2124,48.5597,59.0,54.0,71.0,28.7239,113.0,130.0,132.69,40.67,68.75,44.14,0.0,1.3923,-6.2062,-7.5985
20260423_205006,a08,PHASE_cinc2013,,,,,97.6562,97.6562,97.6562,125.0,3.0,3.0,4.0054,128.0,128.0,128.14,10.02,97.64,96.03,1.0,2.5192,-1.8999,-4.4191
20260423_205006,a09,PHASE_cinc2013,,,,,16.1538,21.875,18.5841,21.0,75.0,109.0,34.7187,96.0,130.0,98.06,15.53,56.84,100.0,0.0,1.0515,-7.2102,-8.2616
20260423_205006,a10,PHASE_cinc2013,,,,,70.8571,82.1192,76.0736,124.0,27.0,51.0,22.5831,151.0,175.0,160.01,32.15,62.67,59.73,0.0,1.4436,-5.6652,-7.1088
20260423_205006,a11,PHASE_cinc2013,,,,,24.2857,33.6634,28.2158,34.0,67.0,106.0,41.4759,101.0,140.0,121.4,46.48,48.0,32.32,0.0,1.0247,-8.6025,-9.6272
20260423_205006,a12,PHASE_cinc2013,,,,,78.2609,80.597,79.4118,108.0,26.0,30.0,14.0009,134.0,138.0,138.75,24.72,86.47,70.45,1.0,1.7165,-5.1968,-6.9133
20260423_205006,a13,PHASE_cinc2013,,,,,97.619,100.0,98.7952,123.0,0.0,3.0,2.8372,123.0,126.0,124.38,10.29,97.54,95.87,1.0,2.6046,-2.5082,-5.1129
20260423_205006,a14,PHASE_cinc2013,,,,,90.2439,95.6897,92.887,111.0,5.0,12.0,10.3126,116.0,123.0,120.61,21.83,89.57,78.07,1.0,1.8026,-4.5877,-6.3903
20260423_205006,a15,PHASE_cinc2013,,,,,97.7612,97.7612,97.7612,131.0,3.0,3.0,4.6641,134.0,134.0,135.29,13.96,96.99,92.42,1.0,2.8364,-1.1494,-3.9858
20260423_205006,a16,PHASE_cinc2013,,,,,16.9231,22.6804,19.3833,22.0,75.0,108.0,42.9687,97.0,130.0,127.79,48.8,57.29,35.79,0.0,1.0275,-7.3743,-8.4018
20260423_205006,a17,PHASE_cinc2013,,,,,49.2424,49.2424,49.2424,65.0,67.0,67.0,21.815,132.0,132.0,139.33,31.78,77.86,43.85,0.0,3.0781,-0.7086,-3.7866
20260423_205006,a18,PHASE_cinc2013,,,,,18.0,22.314,19.9262,27.0,94.0,123.0,34.1588,121.0,150.0,135.67,40.29,61.67,42.02,0.0,1.9437,-3.7219,-5.6656
20260423_205006,a19,PHASE_cinc2013,,,,,98.4252,99.2063,98.8142,125.0,1.0,2.0,2.2145,126.0,127.0,126.7,7.06,99.2,96.77,1.0,2.3562,-2.5594,-4.9155
20260423_205006,a20,PHASE_cinc2013,,,,,95.4198,96.8992,96.1538,125.0,4.0,6.0,4.5839,129.0,131.0,131.3,14.21,96.88,90.55,1.0,3.0713,-1.2091,-4.2804
20260423_205006,a21,PHASE_cinc2013,,,,,76.5517,81.0219,78.7234,111.0,26.0,34.0,14.3324,137.0,145.0,142.38,24.73,87.5,63.7,0.0,1.1696,-7.711,-8.8805
20260423_205006,a22,PHASE_cinc2013,,,,,97.619,100.0,98.7952,123.0,0.0,3.0,3.0685,123.0,126.0,123.81,9.9,97.54,95.04,1.0,3.724,0.5748,-3.1492
20260423_205006,a23,PHASE_cinc2013,,,,,94.4444,96.748,95.5823,119.0,4.0,7.0,3.804,123.0,126.0,125.09,11.24,97.54,90.91,1.0,1.7202,-4.3942,-6.1144
20260423_205006,a24,PHASE_cinc2013,,,,,95.935,99.1597,97.5207,118.0,1.0,5.0,4.9671,119.0,123.0,121.07,11.86,96.61,92.31,1.0,3.1826,-1.2103,-4.3929
20260423_205006,a25,PHASE_cinc2013,,,,,97.6,100.0,98.7854,122.0,0.0,3.0,2.6659,122.0,125.0,123.5,10.27,97.52,95.0,1.0,2.0468,-3.4144,-5.4612
20260423_205006,a26,PHASE_cinc2013,,,,,74.6377,78.0303,76.2963,103.0,29.0,35.0,15.6331,132.0,138.0,137.53,25.65,86.26,58.46,0.0,1.8034,-3.7791,-5.5825
20260423_205006,a27,PHASE_cinc2013,,,,,49.6296,58.7719,53.8153,67.0,47.0,68.0,29.0218,114.0,135.0,126.74,38.8,53.98,52.68,0.0,2.1018,-3.1819,-5.2837
20260423_205006,a28,PHASE_cinc2013,,,,,28.7425,39.6694,33.3333,48.0,73.0,119.0,49.6968,121.0,167.0,132.43,42.02,43.33,58.82,0.0,4.6216,1.6481,-2.9734
20260423_205006,a29,PHASE_cinc2013,,,,,71.6535,69.4656,70.5426,91.0,40.0,36.0,15.8183,131.0,127.0,136.68,29.0,78.46,56.59,0.0,10.4049,9.5416,-0.8633
20260423_205006,a30,PHASE_cinc2013,,,,,73.5714,79.2308,76.2963,103.0,27.0,37.0,15.7172,130.0,140.0,134.42,22.52,91.47,72.66,1.0,15.6576,15.4165,-0.2411
20260423_205006,a31,PHASE_cinc2013,,,,,18.9781,20.0,19.4757,26.0,104.0,111.0,24.4541,130.0,137.0,139.5,35.81,68.22,32.03,0.0,8.9679,7.7742,-1.1937
20260423_205006,a32,PHASE_cinc2013,,,,,100.0,100.0,100.0,152.0,0.0,0.0,4.0641,152.0,152.0,152.09,6.8,100.0,100.0,1.0,0.5951,-11.3238,-11.9189
20260423_205006,a33,PHASE_cinc2013,,,,,94.2857,91.0345,92.6316,132.0,13.0,8.0,4.8925,145.0,140.0,146.33,11.79,97.22,91.61,1.0,4.8376,2.202,-2.6355
20260423_205006,a34,PHASE_cinc2013,,,,,14.5038,24.359,18.1818,19.0,59.0,112.0,56.9536,78.0,131.0,82.66,25.82,10.39,85.53,0.0,9.8354,8.8445,-0.9909
20260423_205006,a35,PHASE_cinc2013,,,,,50.9202,65.3543,57.2414,83.0,44.0,80.0,39.2487,127.0,163.0,139.42,39.78,54.76,58.4,0.0,8.568,7.6435,-0.9245
