peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
TP,174,0.174,183,-9.0
TP,656,0.656,651,5.0
TP,1121,1.121,1118,3.0
TP,1575,1.575,1583,-8.0
TP,2052,2.052,2049,3.0
TP,2518,2.518,2514,4.0
TP,2975,2.975,2982,-7.0
TP,3442,3.442,3451,-9.0
TP,3924,3.924,3920,4.0
TP,4376,4.376,4389,-13.0
TP,4848,4.848,4857,-9.0
TP,5318,5.318,5327,-9.0
TP,5803,5.803,5796,7.0
TP,6269,6.269,6263,6.0
TP,6734,6.734,6732,2.0
TP,7198,7.198,7200,-2.0
TP,7663,7.663,7667,-4.0
TP,8119,8.119,8137,-18.0
TP,8592,8.592,8603,-11.0
TP,9058,9.058,9068,-10.0
TP,9541,9.541,9533,8.0
TP,10004,10.004,9999,5.0
TP,10453,10.453,10462,-9.0
TP,10915,10.915,10926,-11.0
TP,11394,11.394,11389,5.0
TP,11849,11.849,11848,1.0
TP,12325,12.325,12309,16.0
TP,12776,12.776,12767,9.0
TP,13218,13.218,13224,-6.0
TP,13689,13.689,13680,9.0
TP,14141,14.141,14137,4.0
TP,14597,14.597,14594,3.0
TP,15058,15.058,15047,11.0
TP,15492,15.492,15502,-10.0
TP,15947,15.947,15954,-7.0
TP,16399,16.399,16410,-11.0
TP,16872,16.872,16863,9.0
TP,17308,17.308,17317,-9.0
TP,17777,17.777,17773,4.0
TP,18231,18.231,18231,0.0
TP,18685,18.685,18688,-3.0
TP,19134,19.134,19143,-9.0
TP,19605,19.605,19600,5.0
TP,20058,20.058,20058,0.0
TP,20510,20.51,20517,-7.0
TP,20964,20.964,20975,-11.0
TP,21432,21.432,21437,-5.0
TP,21907,21.907,21903,4.0
TP,22377,22.377,22372,5.0
TP,22844,22.844,22840,4.0
TP,23311,23.311,23308,3.0
TP,23784,23.784,23775,9.0
TP,24233,24.233,24244,-11.0
TP,24712,24.712,24711,1.0
TP,25179,25.179,25173,6.0
TP,25636,25.636,25635,1.0
TP,26084,26.084,26096,-12.0
TP,26578,26.578,26558,20.0
TP,27023,27.023,27021,2.0
TP,27493,27.493,27486,7.0
TP,27955,27.955,27955,0.0
TP,28428,28.428,28425,3.0
TP,28892,28.892,28896,-4.0
TP,29367,29.367,29365,2.0
TP,29826,29.826,29835,-9.0
TP,30308,30.308,30306,2.0
TP,30784,30.784,30775,9.0
TP,31234,31.234,31243,-9.0
TP,31700,31.7,31709,-9.0
TP,32165,32.165,32174,-9.0
TP,32645,32.645,32639,6.0
TP,33103,33.103,33102,1.0
TP,33566,33.566,33565,1.0
TP,34029,34.029,34026,3.0
TP,34476,34.476,34488,-12.0
TP,34947,34.947,34953,-6.0
TP,35405,35.405,35416,-11.0
TP,35892,35.892,35880,12.0
TP,36343,36.343,36344,-1.0
TP,36829,36.829,36809,20.0
TP,37280,37.28,37275,5.0
TP,37745,37.745,37743,2.0
TP,38220,38.22,38210,10.0
TP,38669,38.669,38678,-9.0
TP,39136,39.136,39146,-10.0
TP,39614,39.614,39617,-3.0
TP,40078,40.078,40085,-7.0
TP,40548,40.548,40557,-9.0
TP,41018,41.018,41024,-6.0
TP,41495,41.495,41493,2.0
TP,41968,41.968,41961,7.0
TP,42433,42.433,42430,3.0
TP,42892,42.892,42899,-7.0
TP,43366,43.366,43370,-4.0
TP,43836,43.836,43843,-7.0
TP,44310,44.31,44317,-7.0
TP,44792,44.792,44790,2.0
TP,45253,45.253,45263,-10.0
TP,45730,45.73,45736,-6.0
TP,46210,46.21,46209,1.0
TP,46672,46.672,46681,-9.0
TP,47155,47.155,47152,3.0
TP,47612,47.612,47622,-10.0
TP,48098,48.098,48094,4.0
TP,48571,48.571,48565,6.0
TP,49038,49.038,49036,2.0
TP,49497,49.497,49506,-9.0
TP,49968,49.968,49974,-6.0
TP,50444,50.444,50443,1.0
TP,50931,50.931,50910,21.0
TP,51381,51.381,51377,4.0
TP,51844,51.844,51847,-3.0
TP,52319,52.319,52312,7.0
TP,52788,52.788,52779,9.0
TP,53250,53.25,53246,4.0
TP,53716,53.716,53713,3.0
TP,54188,54.188,54179,9.0
TP,54635,54.635,54646,-11.0
TP,55102,55.102,55107,-5.0
TP,55559,55.559,55568,-9.0
TP,56021,56.021,56028,-7.0
TP,56496,56.496,56491,5.0
TP,56954,56.954,56949,5.0
TP,57404,57.404,57409,-5.0
TP,57871,57.871,57873,-2.0
TP,58329,58.329,58334,-5.0
TP,58787,58.787,58800,-13.0
TP,59260,59.26,59266,-6.0
TP,59738,59.738,59733,5.0
TP,60209,60.209,60201,8.0
TP,60669,60.669,60669,0.0
TP,61145,61.145,61136,9.0
TP,61601,61.601,61606,-5.0
TP,62068,62.068,62075,-7.0
TP,62543,62.543,62539,4.0
TP,62999,62.999,63006,-7.0
TP,63459,63.459,63469,-10.0
TP,63924,63.924,63931,-7.0
TP,64387,64.387,64396,-9.0
TP,64865,64.865,64864,1.0
TP,65332,65.332,65328,4.0
TP,65818,65.818,65796,22.0
TP,66263,66.263,66259,4.0
TP,66734,66.734,66728,6.0
TP,67184,67.184,67195,-11.0
TP,67657,67.657,67666,-9.0
TP,68145,68.145,68137,8.0
TP,68622,68.622,68611,11.0
TP,69084,69.084,69088,-4.0
TP,69572,69.572,69568,4.0
TP,70051,70.051,70050,1.0
TP,70522,70.522,70530,-8.0
TP,70986,70.986,71011,-25.0
TP,71476,71.476,71489,-13.0
TP,71979,71.979,71968,11.0
TP,72449,72.449,72446,3.0
TP,72911,72.911,72922,-11.0
TP,73389,73.389,73398,-9.0
TP,73881,73.881,73873,8.0
TP,74337,74.337,74349,-12.0
TP,74807,74.807,74821,-14.0
TP,75302,75.302,75296,6.0
TP,75761,75.761,75770,-9.0
TP,76233,76.233,76245,-12.0
TP,76716,76.716,76716,0.0
TP,77182,77.182,77181,1.0
TP,77644,77.644,77652,-8.0
TP,78108,78.108,78120,-12.0
TP,78596,78.596,78587,9.0
TP,79063,79.063,79055,8.0
TP,79524,79.524,79528,-4.0
TP,80007,80.007,80001,6.0
TP,80470,80.47,80473,-3.0
TP,80954,80.954,80946,8.0
TP,81420,81.42,81414,6.0
TP,81870,81.87,81880,-10.0
TP,82353,82.353,82346,7.0
TP,82806,82.806,82815,-9.0
TP,83270,83.27,83278,-8.0
TP,83745,83.745,83741,4.0
TP,84214,84.214,84206,8.0
TP,84665,84.665,84673,-8.0
TP,85142,85.142,85146,-4.0
TP,85621,85.621,85622,-1.0
TP,86099,86.099,86104,-5.0
TP,86587,86.587,86583,4.0
TP,87066,87.066,87060,6.0
TP,87537,87.537,87533,4.0
TP,88011,88.011,88015,-4.0
TP,88489,88.489,88495,-6.0
TP,88968,88.968,88975,-7.0
TP,89445,89.445,89455,-10.0
TP,89949,89.949,89941,8.0
TP,90429,90.429,90423,6.0
TP,90915,90.915,90911,4.0
TP,91395,91.395,91393,2.0
TP,91862,91.862,91873,-11.0
TP,92346,92.346,92353,-7.0
TP,92824,92.824,92836,-12.0
TP,93309,93.309,93318,-9.0
TP,93785,93.785,93795,-10.0
TP,94270,94.27,94270,0.0
TP,94751,94.751,94742,9.0
TP,95218,95.218,95216,2.0
TP,95687,95.687,95692,-5.0
TP,96172,96.172,96171,1.0
TP,96668,96.668,96655,13.0
TP,97140,97.14,97135,5.0
TP,97620,97.62,97618,2.0
TP,98103,98.103,98098,5.0
TP,98580,98.58,98581,-1.0
TP,99054,99.054,99059,-5.0
TP,99541,99.541,99534,7.0
TP,100015,100.015,100014,1.0
TP,100494,100.494,100492,2.0
TP,100964,100.964,100973,-9.0
TP,101442,101.442,101449,-7.0
TP,101932,101.932,101929,3.0
TP,102402,102.402,102405,-3.0
TP,102878,102.878,102880,-2.0
TP,103356,103.356,103354,2.0
TP,103833,103.833,103830,3.0
TP,104310,104.31,104307,3.0
TP,104784,104.784,104782,2.0
TP,105263,105.263,105256,7.0
TP,105733,105.733,105729,4.0
TP,106211,106.211,106206,5.0
TP,106677,106.677,106680,-3.0
TP,107154,107.154,107155,-1.0
TP,107617,107.617,107631,-14.0
TP,108097,108.097,108105,-8.0
TP,108571,108.571,108577,-6.0
TP,109055,109.055,109053,2.0
TP,109536,109.536,109532,4.0
TP,110003,110.003,110006,-3.0
TP,110483,110.483,110480,3.0
TP,110957,110.957,110953,4.0
TP,111427,111.427,111425,2.0
TP,111889,111.889,111899,-10.0
TP,112375,112.375,112370,5.0
TP,112848,112.848,112843,5.0
TP,113316,113.316,113314,2.0
TP,113786,113.786,113788,-2.0
TP,114264,114.264,114261,3.0
TP,114722,114.722,114731,-9.0
TP,115202,115.202,115202,0.0
TP,115675,115.675,115672,3.0
TP,116135,116.135,116144,-9.0
TP,116616,116.616,116616,0.0
TP,117090,117.09,117087,3.0
TP,117554,117.554,117557,-3.0
TP,118028,118.028,118027,1.0
TP,118502,118.502,118496,6.0
TP,118958,118.958,118965,-7.0
TP,119437,119.437,119434,3.0
TP,119902,119.902,119904,-2.0
TP,120378,120.378,120375,3.0
TP,120847,120.847,120844,3.0
TP,121304,121.304,121308,-4.0
TP,121786,121.786,121783,3.0
TP,122259,122.259,122254,5.0
TP,122721,122.721,122723,-2.0
TP,123191,123.191,123189,2.0
TP,123652,123.652,123659,-7.0
TP,124118,124.118,124127,-9.0
TP,124599,124.599,124594,5.0
TP,125066,125.066,125060,6.0
TP,125517,125.517,125525,-8.0
TP,125984,125.984,125990,-6.0
TP,126463,126.463,126456,7.0
TP,126934,126.934,126929,5.0
TP,127389,127.389,127396,-7.0
TP,127866,127.866,127866,0.0
TP,128338,128.338,128330,8.0
TP,128801,128.801,128799,2.0
TP,129257,129.257,129264,-7.0
TP,129723,129.723,129726,-3.0
TP,130191,130.191,130187,4.0
TP,130641,130.641,130651,-10.0
TP,131122,131.122,131120,2.0
TP,131590,131.59,131596,-6.0
TP,132060,132.06,132068,-8.0
TP,132549,132.549,132545,4.0
TP,133017,133.017,133016,1.0
TP,133494,133.494,133492,2.0
TP,133969,133.969,133965,4.0
TP,134426,134.426,134435,-9.0
TP,134897,134.897,134903,-6.0
TP,135375,135.375,135371,4.0
TP,135832,135.832,135841,-9.0
TP,136310,136.31,136307,3.0
TP,136777,136.777,136775,2.0
TP,137243,137.243,137239,4.0
TP,137710,137.71,137707,3.0
TP,138179,138.179,138177,2.0
TP,138634,138.634,138643,-9.0
TP,139121,139.121,139117,4.0
TP,139589,139.589,139584,5.0
TP,140042,140.042,140051,-9.0
TP,140520,140.52,140516,4.0
TP,140975,140.975,140981,-6.0
TP,141444,141.444,141445,-1.0
TP,141904,141.904,141908,-4.0
TP,142363,142.363,142374,-11.0
TP,142840,142.84,142843,-3.0
TP,143315,143.315,143311,4.0
TP,143775,143.775,143777,-2.0
TP,144245,144.245,144243,2.0
TP,144700,144.7,144705,-5.0
TP,145165,145.165,145172,-7.0
TP,145637,145.637,145633,4.0
TP,146087,146.087,146097,-10.0
TP,146559,146.559,146560,-1.0
TP,147028,147.028,147025,3.0
TP,147478,147.478,147487,-9.0
TP,147960,147.96,147956,4.0
TP,148426,148.426,148420,6.0
TP,148884,148.884,148881,3.0
TP,149350,149.35,149343,7.0
TP,149806,149.806,149801,5.0
TP,150249,150.249,150258,-9.0
TP,150717,150.717,150710,7.0
TP,151152,151.152,151163,-11.0
TP,151623,151.623,151617,6.0
TP,152072,152.072,152069,3.0
TP,152523,152.523,152520,3.0
TP,152977,152.977,152972,5.0
TP,153416,153.416,153422,-6.0
TP,153878,153.878,153871,7.0
TP,154325,154.325,154322,3.0
TP,154772,154.772,154769,3.0
TP,155221,155.221,155217,4.0
TP,155656,155.656,155664,-8.0
TP,156107,156.107,156109,-2.0
TP,156557,156.557,156552,5.0
TP,157002,157.002,156994,8.0
TP,157440,157.44,157434,6.0
TP,157876,157.876,157873,3.0
TP,158310,158.31,158308,2.0
TP,158733,158.733,158742,-9.0
TP,159512,159.512,159511,1.0
TP,159957,159.957,159953,4.0
TP,160384,160.384,160381,3.0
TP,160798,160.798,160806,-8.0
TP,161228,161.228,161224,4.0
TP,161641,161.641,161637,4.0
TP,162049,162.049,162049,0.0
TP,162450,162.45,162457,-7.0
TP,162871,162.871,162864,7.0
TP,163590,163.59,163587,3.0
