peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
FP,141,0.141,,
FN,,,212,
TP,698,0.698,650,48.0
TP,1092,1.092,1088,4.0
TP,1528,1.528,1523,5.0
TP,1958,1.958,1953,5.0
TP,2387,2.387,2382,5.0
TP,2816,2.816,2809,7.0
TP,3241,3.241,3234,7.0
TP,3669,3.669,3662,7.0
TP,4097,4.097,4092,5.0
TP,4536,4.536,4530,6.0
TP,4976,4.976,4969,7.0
TP,5437,5.437,5406,31.0
TP,5845,5.845,5840,5.0
TP,6273,6.273,6268,5.0
TP,6703,6.703,6697,6.0
TP,7130,7.13,7123,7.0
TP,7551,7.551,7546,5.0
TP,7971,7.971,7966,5.0
FN,,,8383,
FP,8500,8.5,,
TP,8806,8.806,8800,6.0
TP,9242,9.242,9230,12.0
FN,,,9654,
FP,9912,9.912,,
FN,,,10083,
TP,10528,10.528,10522,6.0
TP,10963,10.963,10958,5.0
TP,11400,11.4,11394,6.0
TP,11827,11.827,11829,-2.0
FN,,,12263,
FP,12438,12.438,,
TP,12746,12.746,12697,49.0
TP,13143,13.143,13139,4.0
TP,13571,13.571,13573,-2.0
FN,,,14008,
FP,14139,14.139,,
FN,,,14445,
FP,14711,14.711,,
FN,,,14887,
TP,15319,15.319,15329,-10.0
TP,15790,15.79,15786,4.0
TP,16237,16.237,16232,5.0
TP,16688,16.688,16683,5.0
TP,17138,17.138,17132,6.0
TP,17580,17.58,17574,6.0
TP,18024,18.024,18019,5.0
TP,18462,18.462,18455,7.0
TP,18899,18.899,18894,5.0
TP,19343,19.343,19338,5.0
TP,19819,19.819,19774,45.0
TP,20223,20.223,20217,6.0
TP,20667,20.667,20661,6.0
FP,21029,21.029,,
FN,,,21098,
TP,21551,21.551,21547,4.0
TP,21998,21.998,21991,7.0
TP,22437,22.437,22431,6.0
TP,22882,22.882,22876,6.0
TP,23322,23.322,23316,6.0
TP,23763,23.763,23759,4.0
TP,24216,24.216,24211,5.0
TP,24702,24.702,24652,50.0
TP,25103,25.103,25098,5.0
TP,25548,25.548,25542,6.0
TP,26004,26.004,25981,23.0
TP,26433,26.433,26426,7.0
TP,26877,26.877,26873,4.0
TP,27319,27.319,27315,4.0
FN,,,27766,
FP,27984,27.984,,
FN,,,28213,
TP,28663,28.663,28657,6.0
TP,29107,29.107,29101,6.0
TP,29549,29.549,29545,4.0
TP,29991,29.991,29984,7.0
TP,30433,30.433,30426,7.0
TP,30873,30.873,30867,6.0
TP,31313,31.313,31307,6.0
TP,31773,31.773,31747,26.0
FN,,,32185,
FP,32303,32.303,,
TP,32641,32.641,32637,4.0
TP,33087,33.087,33080,7.0
TP,33555,33.555,33528,27.0
TP,33981,33.981,33977,4.0
TP,34429,34.429,34424,5.0
TP,34882,34.882,34881,1.0
TP,35347,35.347,35339,8.0
TP,35791,35.791,35785,6.0
TP,36240,36.24,36235,5.0
TP,36691,36.691,36685,6.0
TP,37136,37.136,37130,6.0
TP,37579,37.579,37574,5.0
TP,38023,38.023,38017,6.0
TP,38466,38.466,38459,7.0
TP,38915,38.915,38908,7.0
TP,39355,39.355,39349,6.0
TP,39799,39.799,39796,3.0
TP,40251,40.251,40244,7.0
TP,40694,40.694,40689,5.0
TP,41148,41.148,41142,6.0
FN,,,41591,
FP,41758,41.758,,
TP,42064,42.064,42038,26.0
TP,42481,42.481,42496,-15.0
TP,42954,42.954,42949,5.0
TP,43411,43.411,43404,7.0
TP,43881,43.881,43865,16.0
TP,44329,44.329,44326,3.0
TP,44787,44.787,44783,4.0
TP,45253,45.253,45249,4.0
TP,45710,45.71,45703,7.0
TP,46168,46.168,46161,7.0
TP,46617,46.617,46614,3.0
TP,47065,47.065,47060,5.0
TP,47519,47.519,47513,6.0
TP,47968,47.968,47967,1.0
TP,48418,48.418,48414,4.0
TP,48877,48.877,48872,5.0
TP,49326,49.326,49321,5.0
TP,49800,49.8,49773,27.0
TP,50234,50.234,50230,4.0
TP,50683,50.683,50678,5.0
TP,51135,51.135,51130,5.0
TP,51583,51.583,51577,6.0
TP,52025,52.025,52022,3.0
TP,52496,52.496,52471,25.0
TP,52919,52.919,52913,6.0
TP,53364,53.364,53357,7.0
TP,53813,53.813,53810,3.0
FN,,,54257,
FP,54514,54.514,,
FN,,,54706,
TP,55153,55.153,55149,4.0
TP,55605,55.605,55598,7.0
TP,56051,56.051,56046,5.0
TP,56474,56.474,56491,-17.0
TP,56942,56.942,56936,6.0
TP,57406,57.406,57381,25.0
TP,57832,57.832,57826,6.0
TP,58237,58.237,58272,-35.0
FN,,,58500,
FP,58722,58.722,,
FP,59169,59.169,,
FP,59613,59.613,,
FP,59982,59.982,,
