peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
FP,106,0.106,,
FN,,,374,
TP,756,0.756,746,10.0
TP,1116,1.116,1120,-4.0
TP,1504,1.504,1494,10.0
TP,1862,1.862,1866,-4.0
TP,2235,2.235,2236,-1.0
TP,2617,2.617,2608,9.0
TP,2994,2.994,2980,14.0
TP,3371,3.371,3356,15.0
TP,3744,3.744,3734,10.0
TP,4124,4.124,4114,10.0
TP,4494,4.494,4500,-6.0
TP,4899,4.899,4888,11.0
TP,5288,5.288,5276,12.0
TP,5668,5.668,5672,-4.0
TP,6078,6.078,6068,10.0
TP,6459,6.459,6466,-7.0
TP,6881,6.881,6866,15.0
TP,7264,7.264,7266,-2.0
TP,7662,7.662,7668,-6.0
TP,8078,8.078,8068,10.0
TP,8465,8.465,8470,-5.0
TP,8882,8.882,8874,8.0
TP,9272,9.272,9276,-4.0
TP,9696,9.696,9684,12.0
TP,10093,10.093,10092,1.0
TP,10502,10.502,10508,-6.0
TP,10930,10.93,10924,6.0
TP,11357,11.357,11348,9.0
TP,11762,11.762,11770,-8.0
TP,12187,12.187,12190,-3.0
TP,12612,12.612,12616,-4.0
TP,13037,13.037,13042,-5.0
TP,13481,13.481,13468,13.0
TP,13903,13.903,13892,11.0
TP,14326,14.326,14314,12.0
TP,14733,14.733,14736,-3.0
TP,15166,15.166,15156,10.0
TP,15569,15.569,15574,-5.0
TP,15999,15.999,15988,11.0
TP,16403,16.403,16404,-1.0
TP,16835,16.835,16818,17.0
TP,17231,17.231,17234,-3.0
TP,17643,17.643,17648,-5.0
TP,18076,18.076,18066,10.0
TP,18482,18.482,18484,-2.0
TP,18899,18.899,18904,-5.0
TP,19320,19.32,19326,-6.0
TP,19768,19.768,19758,10.0
TP,20196,20.196,20186,10.0
TP,20610,20.61,20616,-6.0
TP,21050,21.05,21054,-4.0
TP,21500,21.5,21490,10.0
TP,21937,21.937,21926,11.0
TP,22376,22.376,22364,12.0
TP,22815,22.815,22804,11.0
TP,23238,23.238,23240,-2.0
TP,23689,23.689,23678,11.0
TP,24120,24.12,24116,4.0
TP,24559,24.559,24550,9.0
TP,24987,24.987,24988,-1.0
TP,25414,25.414,25420,-6.0
TP,25862,25.862,25852,10.0
TP,26296,26.296,26284,12.0
FN,,,26712,
FP,26949,26.949,,
FN,,,27144,
TP,27587,27.587,27574,13.0
TP,28036,28.036,28002,34.0
TP,28444,28.444,28436,8.0
TP,28874,28.874,28866,8.0
TP,29314,29.314,29302,12.0
TP,29733,29.733,29738,-5.0
TP,30186,30.186,30174,12.0
TP,30627,30.627,30616,11.0
TP,31061,31.061,31052,9.0
TP,31490,31.49,31496,-6.0
TP,31937,31.937,31938,-1.0
TP,32388,32.388,32376,12.0
TP,32825,32.825,32816,9.0
TP,33248,33.248,33252,-4.0
TP,33698,33.698,33688,10.0
TP,34129,34.129,34120,9.0
TP,34548,34.548,34552,-4.0
TP,34995,34.995,34984,11.0
FN,,,35114,
TP,35326,35.326,35318,8.0
TP,35832,35.832,35838,-6.0
FN,,,36074,
TP,36254,36.254,36264,-10.0
TP,36702,36.702,36690,12.0
TP,37113,37.113,37114,-1.0
TP,37533,37.533,37538,-5.0
TP,37978,37.978,37966,12.0
TP,38392,38.392,38396,-4.0
TP,38837,38.837,38828,9.0
TP,39263,39.263,39266,-3.0
TP,39710,39.71,39698,12.0
TP,40149,40.149,40138,11.0
TP,40576,40.576,40582,-6.0
TP,41013,41.013,41020,-7.0
TP,41475,41.475,41464,11.0
TP,41915,41.915,41910,5.0
TP,42347,42.347,42350,-3.0
TP,42796,42.796,42796,0.0
TP,43232,43.232,43236,-4.0
TP,43673,43.673,43678,-5.0
TP,44131,44.131,44120,11.0
TP,44560,44.56,44562,-2.0
TP,45000,45.0,45004,-4.0
TP,45437,45.437,45442,-5.0
TP,45877,45.877,45880,-3.0
TP,46316,46.316,46320,-4.0
TP,46752,46.752,46756,-4.0
TP,47202,47.202,47190,12.0
TP,47619,47.619,47624,-5.0
TP,48067,48.067,48056,11.0
TP,48482,48.482,48488,-6.0
TP,48917,48.917,48922,-5.0
TP,49350,49.35,49354,-4.0
TP,49783,49.783,49786,-3.0
TP,50226,50.226,50218,8.0
TP,50647,50.647,50650,-3.0
TP,51073,51.073,51080,-7.0
TP,51504,51.504,51508,-4.0
TP,51948,51.948,51934,14.0
TP,52369,52.369,52358,11.0
TP,52776,52.776,52780,-4.0
TP,53195,53.195,53198,-3.0
TP,53604,53.604,53616,-12.0
TP,54026,54.026,54030,-4.0
TP,54445,54.445,54446,-1.0
TP,54871,54.871,54860,11.0
TP,55286,55.286,55276,10.0
TP,55701,55.701,55692,9.0
TP,56105,56.105,56110,-5.0
TP,56537,56.537,56528,9.0
TP,56938,56.938,56946,-8.0
TP,57376,57.376,57366,10.0
TP,57774,57.774,57784,-10.0
TP,58198,58.198,58204,-6.0
TP,58633,58.633,58622,11.0
TP,59049,59.049,59046,3.0
TP,59465,59.465,59470,-5.0
FN,,,59896,
FP,59975,59.975,,
