peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
TP,236,0.236,241,-5.0
TP,677,0.677,664,13.0
TP,1089,1.089,1085,4.0
TP,1504,1.504,1503,1.0
TP,1909,1.909,1912,-3.0
TP,2315,2.315,2316,-1.0
TP,2713,2.713,2715,-2.0
TP,3100,3.1,3110,-10.0
TP,3509,3.509,3505,4.0
TP,3877,3.877,3895,-18.0
TP,4276,4.276,4281,-5.0
TP,4658,4.658,4665,-7.0
TP,5027,5.027,5046,-19.0
TP,5423,5.423,5424,-1.0
TP,5799,5.799,5801,-2.0
TP,6187,6.187,6177,10.0
TP,6535,6.535,6551,-16.0
TP,6917,6.917,6924,-7.0
TP,7298,7.298,7297,1.0
TP,7680,7.68,7668,12.0
TP,8021,8.021,8039,-18.0
TP,8424,8.424,8409,15.0
TP,8760,8.76,8778,-18.0
TP,9150,9.15,9148,2.0
TP,9508,9.508,9516,-8.0
TP,9895,9.895,9884,11.0
TP,10262,10.262,10251,11.0
TP,10600,10.6,10617,-17.0
TP,10983,10.983,10985,-2.0
TP,11335,11.335,11354,-19.0
TP,11717,11.717,11722,-5.0
TP,12085,12.085,12090,-5.0
TP,12451,12.451,12458,-7.0
TP,12822,12.822,12827,-5.0
TP,13192,13.192,13194,-2.0
TP,13557,13.557,13562,-5.0
TP,13944,13.944,13931,13.0
TP,14295,14.295,14299,-4.0
TP,14671,14.671,14667,4.0
TP,15032,15.032,15035,-3.0
TP,15399,15.399,15404,-5.0
TP,15770,15.77,15773,-3.0
TP,16141,16.141,16142,-1.0
TP,16509,16.509,16511,-2.0
TP,16896,16.896,16882,14.0
TP,17255,17.255,17252,3.0
TP,17622,17.622,17622,0.0
TP,18005,18.005,17993,12.0
TP,18365,18.365,18364,1.0
TP,18730,18.73,18738,-8.0
TP,19105,19.105,19112,-7.0
TP,19485,19.485,19492,-7.0
TP,19867,19.867,19873,-6.0
TP,20251,20.251,20258,-7.0
TP,20643,20.643,20643,0.0
TP,21025,21.025,21027,-2.0
TP,21405,21.405,21413,-8.0
TP,21808,21.808,21797,11.0
TP,22178,22.178,22184,-6.0
TP,22571,22.571,22574,-3.0
TP,22960,22.96,22963,-3.0
TP,23346,23.346,23352,-6.0
TP,23743,23.743,23739,4.0
TP,24135,24.135,24133,2.0
TP,24511,24.511,24532,-21.0
TP,24929,24.929,24934,-5.0
TP,25344,25.344,25331,13.0
TP,25730,25.73,25738,-8.0
TP,26100,26.1,26096,4.0
TP,26534,26.534,26549,-15.0
TP,26971,26.971,26959,12.0
TP,27372,27.372,27368,4.0
TP,27784,27.784,27776,8.0
TP,28185,28.185,28184,1.0
TP,28596,28.596,28593,3.0
TP,29002,29.002,29005,-3.0
TP,29408,29.408,29412,-4.0
TP,29806,29.806,29824,-18.0
TP,30211,30.211,30216,-5.0
TP,30659,30.659,30645,14.0
TP,31057,31.057,31053,4.0
TP,31454,31.454,31458,-4.0
TP,31861,31.861,31858,3.0
TP,32219,32.219,32219,0.0
TP,32654,32.654,32655,-1.0
TP,33052,33.052,33057,-5.0
TP,33462,33.462,33455,7.0
TP,33854,33.854,33855,-1.0
TP,34248,34.248,34251,-3.0
TP,34647,34.647,34648,-1.0
TP,35029,35.029,35045,-16.0
TP,35443,35.443,35444,-1.0
TP,35841,35.841,35840,1.0
TP,36236,36.236,36238,-2.0
TP,36636,36.636,36633,3.0
TP,37029,37.029,37026,3.0
TP,37419,37.419,37423,-4.0
TP,37836,37.836,37820,16.0
TP,38211,38.211,38217,-6.0
TP,38613,38.613,38613,0.0
TP,39009,39.009,39006,3.0
TP,39392,39.392,39400,-8.0
TP,39787,39.787,39791,-4.0
TP,40181,40.181,40185,-4.0
TP,40588,40.588,40576,12.0
TP,40958,40.958,40966,-8.0
TP,41364,41.364,41357,7.0
TP,41751,41.751,41749,2.0
TP,42140,42.14,42137,3.0
TP,42522,42.522,42529,-7.0
TP,42914,42.914,42918,-4.0
TP,43307,43.307,43308,-1.0
TP,43697,43.697,43699,-2.0
TP,44106,44.106,44092,14.0
TP,44444,44.444,44446,-2.0
TP,44868,44.868,44877,-9.0
TP,45265,45.265,45275,-10.0
TP,45671,45.671,45668,3.0
TP,46047,46.047,46065,-18.0
TP,46468,46.468,46463,5.0
TP,46841,46.841,46858,-17.0
TP,47260,47.26,47254,6.0
TP,47655,47.655,47652,3.0
TP,48029,48.029,48048,-19.0
TP,48446,48.446,48446,0.0
TP,48839,48.839,48842,-3.0
TP,49245,49.245,49243,2.0
TP,49643,49.643,49643,0.0
TP,50046,50.046,50043,3.0
TP,50428,50.428,50443,-15.0
TP,50841,50.841,50844,-3.0
TP,51240,51.24,51246,-6.0
TP,51665,51.665,51648,17.0
TP,52050,52.05,52050,0.0
TP,52439,52.439,52450,-11.0
TP,52840,52.84,52849,-9.0
TP,53251,53.251,53248,3.0
TP,53657,53.657,53645,12.0
TP,54038,54.038,54043,-5.0
TP,54438,54.438,54443,-5.0
TP,54862,54.862,54849,13.0
TP,55261,55.261,55262,-1.0
TP,55652,55.652,55675,-23.0
TP,56089,56.089,56089,0.0
TP,56485,56.485,56501,-16.0
TP,56909,56.909,56914,-5.0
TP,57333,57.333,57328,5.0
TP,57712,57.712,57713,-1.0
TP,58165,58.165,58153,12.0
TP,58557,58.557,58566,-9.0
TP,58981,58.981,58976,5.0
TP,59390,59.39,59381,9.0
TP,59783,59.783,59786,-3.0
