peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
FP,262,0.262,,
FN,,,374,
TP,826,0.826,826,0.0
TP,1303,1.303,1306,-3.0
TP,1748,1.748,1747,1.0
FN,,,2208,
TP,2674,2.674,2678,-4.0
FP,3046,3.046,,
FN,,,3147,
FP,3527,3.527,,
FN,,,3589,
TP,4068,4.068,4051,17.0
TP,4525,4.525,4527,-2.0
TP,4993,4.993,4989,4.0
FP,5367,5.367,,
FN,,,5432,
TP,5893,5.893,5895,-2.0
TP,6371,6.371,6373,-2.0
TP,6833,6.833,6833,0.0
TP,7273,7.273,7276,-3.0
TP,7770,7.77,7738,32.0
TP,8215,8.215,8217,-2.0
TP,8681,8.681,8677,4.0
TP,9127,9.127,9121,6.0
FN,,,9582,
TP,10046,10.046,10060,-14.0
FN,,,10522,
TP,10980,10.98,10966,14.0
FN,,,11425,
FP,11524,11.524,,
TP,11900,11.9,11903,-3.0
TP,12367,12.367,12367,0.0
FN,,,12811,
TP,13264,13.264,13268,-4.0
TP,13741,13.741,13746,-5.0
FN,,,14211,
FP,14489,14.489,,
FN,,,14656,
TP,15111,15.111,15112,-1.0
TP,15589,15.589,15589,0.0
TP,16010,16.01,16055,-45.0
TP,16499,16.499,16501,-2.0
FN,,,16956,
TP,17430,17.43,17432,-2.0
TP,17894,17.894,17900,-6.0
FP,18294,18.294,,
FN,,,18347,
FN,,,18799,
FP,19015,19.015,,
TP,19321,19.321,19274,47.0
TP,19746,19.746,19745,1.0
FN,,,20194,
FP,20467,20.467,,
FN,,,20642,
FN,,,21114,
FP,21270,21.27,,
TP,21584,21.584,21590,-6.0
TP,22016,22.016,22042,-26.0
FN,,,22485,
TP,22951,22.951,22953,-2.0
FN,,,23435,
FP,23489,23.489,,
TP,23888,23.888,23889,-1.0
FP,24247,24.247,,
FN,,,24327,
TP,24789,24.789,24791,-2.0
TP,25277,25.277,25278,-1.0
FN,,,25735,
TP,26173,26.173,26168,5.0
TP,26628,26.628,26629,-1.0
FN,,,27119,
FP,27225,27.225,,
TP,27580,27.58,27578,2.0
FP,27912,27.912,,
FN,,,28011,
TP,28470,28.47,28470,0.0
TP,28959,28.959,28958,1.0
FN,,,29418,
FN,,,29855,
FP,29951,29.951,,
FN,,,30315,
FP,30615,30.615,,
FN,,,30798,
FP,31110,31.11,,
FN,,,31258,
FP,31627,31.627,,
FN,,,31701,
FN,,,32161,
TP,32639,32.639,32638,1.0
FN,,,33100,
FP,33351,33.351,,
FN,,,33549,
FP,33890,33.89,,
FN,,,34008,
FP,34399,34.399,,
FN,,,34479,
FN,,,34943,
FP,35129,35.129,,
FN,,,35396,
FP,35461,35.461,,
FN,,,35854,
FP,35998,35.998,,
TP,36323,36.323,36323,0.0
TP,36791,36.791,36788,3.0
FP,37099,37.099,,
FN,,,37241,
FP,37607,37.607,,
FN,,,37699,
FN,,,38170,
TP,38650,38.65,38633,17.0
TP,39080,39.08,39082,-2.0
FN,,,39544,
FP,39820,39.82,,
FN,,,40020,
FP,40362,40.362,,
FN,,,40477,
FP,40840,40.84,,
FN,,,40920,
TP,41392,41.392,41388,4.0
TP,41864,41.864,41870,-6.0
FP,42171,42.171,,
FN,,,42319,
TP,42753,42.753,42755,-2.0
FP,43084,43.084,,
FN,,,43231,
TP,43720,43.72,43718,2.0
TP,44111,44.111,44157,-46.0
FP,44486,44.486,,
FN,,,44589,
FP,44791,44.791,,
FN,,,45072,
TP,45557,45.557,45560,-3.0
FN,,,45993,
FP,46104,46.104,,
TP,46446,46.446,46423,23.0
FP,46755,46.755,,
FN,,,46911,
FP,47231,47.231,,
FN,,,47398,
FP,47601,47.601,,
FN,,,47827,
FP,48099,48.099,,
FN,,,48260,
TP,48732,48.732,48750,-18.0
FP,49033,49.033,,
FN,,,49233,
FP,49558,49.558,,
FN,,,49662,
FP,49954,49.954,,
FN,,,50100,
FP,50295,50.295,,
FN,,,50590,
FP,50705,50.705,,
FN,,,51067,
FP,51146,51.146,,
TP,51496,51.496,51498,-2.0
TP,51952,51.952,51944,8.0
FP,52373,52.373,,
FN,,,52432,
TP,52866,52.866,52902,-36.0
FP,53167,53.167,,
FN,,,53337,
FP,53561,53.561,,
FN,,,53792,
FP,54101,54.101,,
FN,,,54276,
FP,54487,54.487,,
FN,,,54738,
FP,55055,55.055,,
FN,,,55179,
FP,55361,55.361,,
TP,55663,55.663,55642,21.0
FP,56007,56.007,,
FN,,,56120,
TP,56581,56.581,56575,6.0
FN,,,57023,
FP,57179,57.179,,
FN,,,57492,
FP,57764,57.764,,
FN,,,57962,
FP,58083,58.083,,
TP,58417,58.417,58414,3.0
FP,58811,58.811,,
FN,,,58870,
FN,,,59342,
FP,59403,59.403,,
FN,,,59805,
FP,59921,59.921,,
