peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
TP,87,0.087,91,-4.0
TP,588,0.588,591,-3.0
TP,1095,1.095,1098,-3.0
TP,1609,1.609,1612,-3.0
TP,2127,2.127,2125,2.0
TP,2668,2.668,2671,-3.0
TP,3225,3.225,3227,-2.0
TP,3772,3.772,3774,-2.0
TP,4311,4.311,4313,-2.0
TP,4837,4.837,4836,1.0
TP,5349,5.349,5352,-3.0
TP,5867,5.867,5870,-3.0
TP,6374,6.374,6374,0.0
TP,6895,6.895,6878,17.0
TP,7370,7.37,7368,2.0
TP,7865,7.865,7870,-5.0
TP,8374,8.374,8374,0.0
TP,8868,8.868,8870,-2.0
TP,9372,9.372,9376,-4.0
TP,9860,9.86,9863,-3.0
TP,10337,10.337,10339,-2.0
TP,10802,10.802,10804,-2.0
TP,11270,11.27,11264,6.0
TP,11719,11.719,11721,-2.0
TP,12172,12.172,12175,-3.0
TP,12602,12.602,12623,-21.0
FP,12933,12.933,,
FN,,,13062,
TP,13477,13.477,13506,-29.0
TP,13938,13.938,13941,-3.0
FN,,,14372,
FP,14557,14.557,,
FN,,,14800,
TP,15223,15.223,15227,-4.0
TP,15666,15.666,15652,14.0
FN,,,16079,
FP,16193,16.193,,
TP,16526,16.526,16506,20.0
TP,16944,16.944,16946,-2.0
TP,17379,17.379,17382,-3.0
TP,17835,17.835,17824,11.0
TP,18268,18.268,18271,-3.0
TP,18715,18.715,18717,-2.0
TP,19163,19.163,19166,-3.0
TP,19607,19.607,19610,-3.0
TP,20053,20.053,20054,-1.0
TP,20502,20.502,20505,-3.0
TP,20947,20.947,20950,-3.0
TP,21401,21.401,21403,-2.0
TP,21865,21.865,21851,14.0
TP,22298,22.298,22301,-3.0
TP,22749,22.749,22752,-3.0
TP,23204,23.204,23208,-4.0
TP,23661,23.661,23663,-2.0
TP,24133,24.133,24136,-3.0
TP,24602,24.602,24605,-3.0
TP,25073,25.073,25076,-3.0
TP,25546,25.546,25549,-3.0
TP,26030,26.03,26033,-3.0
TP,26521,26.521,26524,-3.0
TP,27006,27.006,27009,-3.0
TP,27481,27.481,27484,-3.0
TP,27952,27.952,27955,-3.0
TP,28432,28.432,28435,-3.0
TP,28915,28.915,28917,-2.0
TP,29397,29.397,29400,-3.0
TP,29873,29.873,29875,-2.0
TP,30359,30.359,30362,-3.0
TP,30864,30.864,30853,11.0
TP,31332,31.332,31335,-3.0
TP,31830,31.83,31828,2.0
TP,32326,32.326,32323,3.0
TP,32822,32.822,32825,-3.0
TP,33328,33.328,33330,-2.0
TP,33825,33.825,33829,-4.0
TP,34332,34.332,34334,-2.0
TP,34814,34.814,34819,-5.0
TP,35297,35.297,35299,-2.0
TP,35770,35.77,35767,3.0
TP,36234,36.234,36237,-3.0
TP,36698,36.698,36700,-2.0
TP,37158,37.158,37160,-2.0
TP,37609,37.609,37613,-4.0
TP,38064,38.064,38068,-4.0
TP,38517,38.517,38521,-4.0
TP,38968,38.968,38971,-3.0
TP,39419,39.419,39423,-4.0
