peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
TP,195,0.195,206,-11.0
TP,654,0.654,652,2.0
TP,1099,1.099,1095,4.0
TP,1528,1.528,1538,-10.0
TP,1984,1.984,1982,2.0
TP,2433,2.433,2428,5.0
TP,2880,2.88,2876,4.0
TP,3336,3.336,3332,4.0
TP,3797,3.797,3791,6.0
TP,4263,4.263,4265,-2.0
TP,4729,4.729,4741,-12.0
TP,5226,5.226,5221,5.0
TP,5711,5.711,5705,6.0
TP,6187,6.187,6185,2.0
TP,6674,6.674,6671,3.0
TP,7161,7.161,7156,5.0
TP,7642,7.642,7638,4.0
TP,8123,8.123,8119,4.0
TP,8605,8.605,8600,5.0
TP,9085,9.085,9082,3.0
TP,9568,9.568,9562,6.0
TP,10049,10.049,10045,4.0
TP,10532,10.532,10529,3.0
TP,11015,11.015,11010,5.0
TP,11494,11.494,11490,4.0
TP,11974,11.974,11970,4.0
TP,12451,12.451,12448,3.0
TP,12934,12.934,12931,3.0
TP,13417,13.417,13412,5.0
TP,13900,13.9,13895,5.0
TP,14382,14.382,14377,5.0
TP,14865,14.865,14861,4.0
TP,15347,15.347,15343,4.0
TP,15827,15.827,15822,5.0
TP,16308,16.308,16302,6.0
TP,16788,16.788,16784,4.0
TP,17267,17.267,17263,4.0
TP,17744,17.744,17741,3.0
TP,18216,18.216,18218,-2.0
TP,18698,18.698,18693,5.0
TP,19177,19.177,19172,5.0
TP,19657,19.657,19654,3.0
TP,20143,20.143,20138,5.0
TP,20631,20.631,20626,5.0
TP,21117,21.117,21112,5.0
TP,21598,21.598,21596,2.0
TP,22082,22.082,22078,4.0
TP,22561,22.561,22558,3.0
TP,23045,23.045,23040,5.0
TP,23530,23.53,23526,4.0
TP,24014,24.014,24010,4.0
TP,24494,24.494,24489,5.0
TP,24974,24.974,24967,7.0
TP,25449,25.449,25445,4.0
TP,25922,25.922,25919,3.0
TP,26396,26.396,26392,4.0
TP,26869,26.869,26860,9.0
TP,27333,27.333,27326,7.0
TP,27795,27.795,27790,5.0
TP,28254,28.254,28251,3.0
TP,28713,28.713,28709,4.0
TP,29167,29.167,29165,2.0
TP,29621,29.621,29618,3.0
TP,30056,30.056,30069,-13.0
TP,30523,30.523,30518,5.0
TP,30970,30.97,30965,5.0
TP,31415,31.415,31412,3.0
TP,31862,31.862,31857,5.0
TP,32307,32.307,32302,5.0
TP,32752,32.752,32747,5.0
TP,33195,33.195,33191,4.0
TP,33639,33.639,33635,4.0
TP,34084,34.084,34079,5.0
TP,34525,34.525,34521,4.0
TP,34968,34.968,34963,5.0
TP,35411,35.411,35404,7.0
TP,35853,35.853,35849,4.0
TP,36297,36.297,36294,3.0
TP,36745,36.745,36741,4.0
TP,37194,37.194,37189,5.0
TP,37647,37.647,37643,4.0
TP,38102,38.102,38097,5.0
TP,38561,38.561,38556,5.0
TP,39021,39.021,39016,5.0
TP,39482,39.482,39478,4.0
TP,39943,39.943,39938,5.0
TP,40400,40.4,40396,4.0
TP,40858,40.858,40853,5.0
TP,41315,41.315,41310,5.0
TP,41769,41.769,41764,5.0
TP,42221,42.221,42216,5.0
TP,42673,42.673,42666,7.0
TP,43119,43.119,43114,5.0
TP,43563,43.563,43558,5.0
TP,44006,44.006,44001,5.0
TP,44445,44.445,44442,3.0
TP,44884,44.884,44880,4.0
TP,45307,45.307,45318,-11.0
TP,45759,45.759,45754,5.0
TP,46193,46.193,46188,5.0
TP,46627,46.627,46622,5.0
TP,47063,47.063,47057,6.0
TP,47497,47.497,47492,5.0
TP,47930,47.93,47925,5.0
TP,48360,48.36,48355,5.0
TP,48786,48.786,48782,4.0
TP,49209,49.209,49204,5.0
TP,49628,49.628,49624,4.0
TP,50048,50.048,50042,6.0
TP,50463,50.463,50459,4.0
TP,50877,50.877,50873,4.0
TP,51290,51.29,51286,4.0
