peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
FP,94,0.094,,
TP,394,0.394,371,23.0
TP,755,0.755,751,4.0
TP,1132,1.132,1130,2.0
TP,1520,1.52,1513,7.0
TP,1898,1.898,1892,6.0
TP,2275,2.275,2274,1.0
TP,2650,2.65,2654,-4.0
TP,3035,3.035,3036,-1.0
TP,3428,3.428,3419,9.0
TP,3808,3.808,3803,5.0
TP,4178,4.178,4187,-9.0
TP,4574,4.574,4570,4.0
TP,4953,4.953,4955,-2.0
TP,5347,5.347,5342,5.0
TP,5738,5.738,5734,4.0
TP,6127,6.127,6121,6.0
TP,6516,6.516,6510,6.0
TP,6910,6.91,6904,6.0
TP,7304,7.304,7299,5.0
TP,7692,7.692,7692,0.0
TP,8073,8.073,8083,-10.0
TP,8483,8.483,8477,6.0
TP,8870,8.87,8871,-1.0
TP,9269,9.269,9265,4.0
TP,9665,9.665,9658,7.0
TP,10056,10.056,10048,8.0
TP,10447,10.447,10440,7.0
TP,10837,10.837,10836,1.0
TP,11229,11.229,11232,-3.0
TP,11631,11.631,11626,5.0
TP,12018,12.018,12018,0.0
TP,12414,12.414,12409,5.0
TP,12799,12.799,12800,-1.0
TP,13199,13.199,13191,8.0
TP,13584,13.584,13582,2.0
TP,13967,13.967,13972,-5.0
TP,14362,14.362,14362,0.0
TP,14739,14.739,14751,-12.0
TP,15138,15.138,15139,-1.0
TP,15527,15.527,15527,0.0
TP,15919,15.919,15915,4.0
TP,16293,16.293,16302,-9.0
TP,16695,16.695,16688,7.0
TP,17083,17.083,17075,8.0
TP,17466,17.466,17461,5.0
TP,17851,17.851,17846,5.0
TP,18237,18.237,18233,4.0
TP,18625,18.625,18626,-1.0
TP,19017,19.017,19016,1.0
TP,19412,19.412,19406,6.0
TP,19804,19.804,19797,7.0
TP,20192,20.192,20187,5.0
TP,20585,20.585,20578,7.0
TP,20972,20.972,20967,5.0
TP,21370,21.37,21358,12.0
TP,21748,21.748,21750,-2.0
TP,22158,22.158,22149,9.0
TP,22556,22.556,22555,1.0
TP,22956,22.956,22954,2.0
TP,23363,23.363,23356,7.0
TP,23762,23.762,23755,7.0
TP,24172,24.172,24161,11.0
TP,24575,24.575,24571,4.0
TP,24987,24.987,24974,13.0
TP,25383,25.383,25374,9.0
TP,25783,25.783,25773,10.0
TP,26176,26.176,26172,4.0
TP,26576,26.576,26571,5.0
TP,26957,26.957,26967,-10.0
TP,27371,27.371,27365,6.0
TP,27753,27.753,27763,-10.0
TP,28154,28.154,28158,-4.0
TP,28541,28.541,28553,-12.0
TP,28937,28.937,28946,-9.0
TP,29348,29.348,29342,6.0
TP,29740,29.74,29735,5.0
TP,30137,30.137,30130,7.0
TP,30529,30.529,30524,5.0
TP,30914,30.914,30918,-4.0
TP,31316,31.316,31311,5.0
TP,31708,31.708,31703,5.0
TP,32099,32.099,32095,4.0
TP,32489,32.489,32486,3.0
TP,32864,32.864,32876,-12.0
TP,33270,33.27,33265,5.0
TP,33661,33.661,33654,7.0
TP,34050,34.05,34044,6.0
TP,34435,34.435,34432,3.0
TP,34825,34.825,34823,2.0
TP,35215,35.215,35215,0.0
TP,35611,35.611,35605,6.0
TP,36004,36.004,35997,7.0
TP,36392,36.392,36386,6.0
TP,36785,36.785,36776,9.0
TP,37168,37.168,37166,2.0
TP,37563,37.563,37556,7.0
TP,37951,37.951,37946,5.0
TP,38336,38.336,38335,1.0
TP,38726,38.726,38726,0.0
TP,39108,39.108,39116,-8.0
TP,39506,39.506,39505,1.0
TP,39896,39.896,39896,0.0
TP,40286,40.286,40287,-1.0
TP,40681,40.681,40676,5.0
TP,41071,41.071,41066,5.0
TP,41465,41.465,41455,10.0
TP,41851,41.851,41845,6.0
TP,42252,42.252,42236,16.0
TP,42636,42.636,42628,8.0
TP,43027,43.027,43020,7.0
TP,43411,43.411,43411,0.0
TP,43792,43.792,43802,-10.0
TP,44200,44.2,44194,6.0
TP,44595,44.595,44585,10.0
TP,44984,44.984,44977,7.0
TP,45376,45.376,45368,8.0
TP,45768,45.768,45760,8.0
TP,46152,46.152,46151,1.0
TP,46548,46.548,46541,7.0
TP,46932,46.932,46930,2.0
TP,47308,47.308,47318,-10.0
TP,47707,47.707,47705,2.0
TP,48103,48.103,48092,11.0
TP,48467,48.467,48478,-11.0
TP,48871,48.871,48863,8.0
TP,49247,49.247,49250,-3.0
TP,49627,49.627,49637,-10.0
TP,50015,50.015,50023,-8.0
TP,50410,50.41,50410,0.0
TP,50800,50.8,50797,3.0
TP,51183,51.183,51183,0.0
TP,51563,51.563,51569,-6.0
TP,51946,51.946,51954,-8.0
TP,52345,52.345,52339,6.0
TP,52734,52.734,52725,9.0
TP,53110,53.11,53110,0.0
TP,53484,53.484,53495,-11.0
TP,53867,53.867,53881,-14.0
TP,54259,54.259,54267,-8.0
TP,54660,54.66,54653,7.0
TP,55046,55.046,55039,7.0
TP,55431,55.431,55426,5.0
TP,55820,55.82,55812,8.0
TP,56204,56.204,56197,7.0
TP,56572,56.572,56583,-11.0
TP,56977,56.977,56971,6.0
TP,57344,57.344,57356,-12.0
TP,57739,57.739,57742,-3.0
TP,58133,58.133,58126,7.0
TP,58499,58.499,58510,-11.0
FP,58801,58.801,,
FN,,,58897,
TP,59289,59.289,59283,6.0
TP,59672,59.672,59668,4.0
